"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"2 years ago","This show truly is a masterpiece, sad it’s coming to an end","5217","@R2debo_","false","false","false","false","","false",""
"2 years ago","At least we have a spinoff coming in 2023 :)","51","@cesarvaldez767","true","false","false","false","","false",""
"2 years ago","Squid game - am i joke to you","25","@dontcheckmychannel5882","true","false","false","false","","false",""
"2 years ago","Which is best  money heist or squid game","16","@dontcheckmychannel5882","true","false","false","false","","false",""
"2 years ago","Exactly this is the best show on Netflix so well executed!!","22","@bri5990","true","false","false","false","","false",""
"2 years ago","Ask Ekta Kapoor to make one....she makes things never ending... 😂🤭","15","@faizhussain43","true","false","false","false","","false",""
"2 years ago","If its master piece u have bad taste as hell IT was good 1/2 max 3 seasons all others suck","27","@youcantfoolmeman169","true","false","false","false","","false",""
"2 years ago","There's a money heist but Korean coming soon","6","@sugggamelly1894","true","false","false","false","","false",""
"2 years ago","Good thing comes to an end. It's meant to be.","6","@anigr888","true","false","false","false","","false",""
"2 years ago","It's an end of hesit not show, I assure you","6","@teamorigin9289","true","false","false","false","","false",""
"2 years ago","Berlin-2023🔥","12","@yashsharma7819","true","false","false","false","","false",""
"2 years ago","Best heist series in the world❤️‍🔥","5","@pritam_haz6157","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  squid game is no where near close to this show","33","@user-pm7ub5bb3b","true","false","false","false","","false",""
"2 years ago"," @youcantfoolmeman169  then the shows not meant for you. Go watch squid game","8","@arshaadcreighton5134","true","false","false","false","","false",""
"2 years ago","I remember always watching the trailers before I binged watched 1-4. A month after 4 was released. Good times.","1","@CourtTV.","true","false","false","false","","false",""
"2 years ago"," @youcantfoolmeman169  no 4 was the weakest.","3","@CourtTV.","true","false","false","false","","false",""
"2 years ago"," @arshaadcreighton5134  i didn't even watch squid game xD its shit there are 1000 more series to watch like dexter , peaky blinders, mr robot , mindhunter , Jack Ryan , and other series this is just pure trash","6","@youcantfoolmeman169","true","false","false","false","","false",""
"2 years ago","It's also part of the plan","2","@jaipalsuryawanshi1610","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  alice in borderland dekho","3","@SrinivasMarpina","true","false","false","false","","false",""
"2 years ago","Masterpiece ? I wouldnt say so. Meybe season 1 and 2 was perfect and it should have stop there.","18","@biban7990","true","false","false","false","","false",""
"2 years ago"," @pritam_haz6157  have you heard of peaky blinders?","3","@professorgaming4919","true","false","false","false","","false",""
"2 years ago"," @youcantfoolmeman169  yeah i agree with you peaky blinders finn Shelby is enough for this whole money heist shitty gand","6","@professorgaming4919","true","false","false","false","","false",""
"2 years ago","Bro sab jagah kese tu samse first mai comment dalta haiii?","3","@profazgaming9612","true","false","false","false","","false",""
"2 years ago (edited)","@Defender 3 breaking bad- i am the danger... 😏","3","@trinuuu","true","false","false","false","","false",""
"2 years ago"," @youcantfoolmeman169  hey.. where is breaking bad and dark..? They are my favourites","6","@trinuuu","true","false","false","false","","false",""
"2 years ago"," @professorgaming4919  yeah series like money heist n squid games are overhyped and had gained too much popularity... But actually there are many masterpiece web series out there breaking bad, dark, peaky blinder(though i have not seen it, will watch it later) and many more","5","@trinuuu","true","false","false","false","","false",""
"2 years ago"," @trinuuu  yes bro you must watch peaky blinders....its actors,sets,cinematography,dialogues,script and many more are just awesome","10","@professorgaming4919","true","false","false","false","","false",""
"2 years ago","It's not a masterpiece only, its a festival which comes to an end.😫😫","3","@vinayak3874","true","false","false","false","","false",""
"2 years ago","nah the last season sucked","3","@ogziiink3879","true","false","false","false","","false",""
"2 years ago","💔💔💯💯💯💯","1","@PRABHAS.OFFICIAL0","true","false","false","false","","false",""
"2 years ago","For me it's commercial not a master piece 🤨","2","@hollywoodtelugudubbed2052","true","false","false","false","","false",""
"2 years ago","Stop scamming with the word of ""masterpiece""","9","@ya5star","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  Squid game wasn't all that thrilling, fun yes, but it's overated. Money Heist is on a whole other level","2","@abbysheyba8421","true","false","false","false","","false",""
"2 years ago","top 5 series ever","1","@kstc86","true","false","false","false","","false",""
"2 years ago"," @youcantfoolmeman169  it's not shit  But so friggin overrated","0","@therealdababycovertible9503","true","false","false","false","","false",""
"2 years ago (edited)","Tokyo foreve has my ❤️","0","@rickisantos7547","true","false","false","false","","false",""
"2 years ago","Just nope. One of the most overrated shows on netflix. Thank god this will end soon... but wait the do a spinoff about the sociopathic rapist Berlin...good job...","4","@saschaherrmann1665","true","false","false","false","","false",""
"2 years ago","""Life is short thing""  ""Girl and Boy friend is nothing""  ""Mother and father God things""  ""Support to everything""","0","@meditation3333","true","false","false","false","","false",""
"2 years ago","It's part of the plan.","0","@markchristianpaynaganan6886","true","false","false","false","","false",""
"2 years ago"," @teamorigin9289  how do you know.....also they said it was the end","0","@benaamdynamicfoe557","true","false","false","false","","false",""
"2 years ago"," @teamorigin9289  anyways there would be nowone happier than me if the show carries on =)","0","@benaamdynamicfoe557","true","false","false","false","","false",""
"2 years ago"," @professorgaming4919  yes ik peaky blinders it's good","0","@benaamdynamicfoe557","true","false","false","false","","false",""
"2 years ago"," @trinuuu  yeah thay are good but overpopular doesn't mean it'd bad =( cmon","0","@benaamdynamicfoe557","true","false","false","false","","false",""
"2 years ago"," @sugggamelly1894  its a remake. Why to watch the story again !","0","@shamlaAK","true","false","false","false","","false",""
"2 years ago (edited)"," @benaamdynamicfoe557  i didn't say that either... They are popular doesn't mean they are masterpiece as claimed by their fans... And yeah s1 n s2 were good but from s3 it just felt dragged... It should end now...","1","@trinuuu","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  money heist","0","@rambox2486","true","false","false","false","","false",""
"2 years ago (edited)","@Defender 3 bro money heist and some og shows started the craze of series .so don't compare new kids with money heist 🐐🐐🐐","0","@rambox2486","true","false","false","false","","false",""
"2 years ago","Am Am 0","0","@obidikeemmanuel4069","true","false","false","false","","false",""
"2 years ago (edited)","@Defender 3 0","0","@obidikeemmanuel4069","true","false","false","false","","false",""
"2 years ago","Spin off coming soon","0","@amer1865","true","false","false","false","","false",""
"2 years ago"," @youcantfoolmeman169  You fooled me man!","0","@BiGSmoke-.-","true","false","false","false","","false",""
"2 years ago","Its Just the start its coming season 2 and 3th","0","@privatbruker5905","true","false","false","false","","false",""
"2 years ago","Are this is there last series of money heist or ant new is going to come","0","@dhairyapatel8477","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  Squid game is best but this one is a legendary nd masterpiece k","0","@beyondinfinity7010","true","false","false","false","","false",""
"2 years ago","Truly over rated","2","@sayanmitra3036","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  Arcane: League of Legends has enter the chat","0","@greym935","true","false","false","false","","false",""
"2 years ago","Glad this is ending","1","@Abdulrazzaq-nu6ti","true","false","false","false","","false",""
"2 years ago","No!!!!!","0","@eaglesalldayable","true","false","false","false","","false",""
"2 years ago","Happy","0","@Abdulrazzaq-nu6ti","true","false","false","false","","false",""
"2 years ago","Wherever I go I see this man!!","2","@tusharthakare5761","true","false","false","false","","false",""
"2 years ago","Am i the only one who has not seen even a single episode","0","@Abdulrazzaq-nu6ti","true","false","false","false","","false",""
"2 years ago"," @Abdulrazzaq-nu6ti  Bro it's me too","2","@tusharthakare5761","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  don't compare trash with money heist","0","@NIAzi9282","true","false","false","false","","false",""
"2 years ago"," @cesarvaldez767  whatz coming bro","0","@haamid2781","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  tbbh money heist","0","@hailekaleabb6177","true","false","false","false","","false",""
"2 years ago","It's 3nd🥺","1","@uflxlawlit4844","true","false","false","false","","false",""
"2 years ago","Not a very good ending...","1","@ibrfusion","true","false","false","false","","false",""
"2 years ago"," @haamid2781  Berlin's spinoff","0","@cesarvaldez767","true","false","false","false","","false",""
"2 years ago"," @yashsharma7819  wym Berlin 2023?","0","@notc9771","true","false","false","false","","false",""
"2 years ago","La serie es una basura","1","@lopezuretasadracrogelio4911","true","false","false","false","","false",""
"2 years ago"," @bri5990  La serie es muy aburrida","0","@lopezuretasadracrogelio4911","true","false","false","false","","false",""
"2 years ago"," @lopezuretasadracrogelio4911  no broder","0","@cesarvaldez767","true","false","false","false","","false",""
"2 years ago"," @cesarvaldez767  really?","0","@humoria2038","true","false","false","false","","false",""
"2 years ago"," @user-pm7ub5bb3b  squid game only kpop euphoria, cant compare againts this masterpiece!","0","@humoria2038","true","false","false","false","","false",""
"2 years ago"," @humoria2038  Of course, is not the best show ever, but it is well entertaining","0","@cesarvaldez767","true","false","false","false","","false",""
"2 years ago"," @lopezuretasadracrogelio4911  Yo siento lo mismo","0","@bri5990","true","false","false","false","","false",""
"2 years ago","Truly","1","@jacquelinecastillo965","true","false","false","false","","false",""
"2 years ago","Yesss.","1","@S0_5G","true","false","false","false","","false",""
"2 years ago","Why are you everywhere spammer","0","@FactGemEdit","true","false","false","false","","false",""
"2 years ago"," @sugggamelly1894  when?","0","@RNGLegend","true","false","false","false","","false",""
"2 years ago"," @RNGLegend  2023","0","@sugggamelly1894","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  nither is best there are much better series then them but they are good ngl 🤡☠️😊","0","@Hunter-jc4iw","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  money heist","0","@monjie657","true","false","false","false","","false",""
"2 years ago","All good things deserve a great ending","0","@khagesh_wp5839","true","false","false","false","","false",""
"2 years ago","Overhyped honestly. Clever and intriguing, initially, but gets dumber and dumber the longer it goes on. The whole plot is TOTALLY derivative: Tokyo is a bad copy of Mia, from Pulp Fiction; the criminals choosing fake names is copied from ""Reservoir Dogs""; the hostages being forced to wear overalls, from ""Inside man""... etc..","2","@jfd4706","true","false","false","false","","false",""
"2 years ago","Sus you","0","@ultimeto6150","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882 , squid game forsure, there is never a dull moment in it. Truly a masterpiece!!","0","@xotiic_viibes3848","true","false","false","false","","false",""
"2 years ago","Highly overrated series and nothing close to a masterpiece unless you have very low standards. There are far too many flaws in the plot, almost everything that happens in the show is very improbable or impossible","1","@robcanad","true","false","false","false","","false",""
"2 years ago","Indeed","1","@JonyPlayz1","true","false","false","false","","false",""
"2 years ago"," @cesarvaldez767  what really!! What is it. Do you know?","0","@NolanSD","true","false","false","false","","false",""
"2 years ago"," @dontcheckmychannel5882  money heist","0","@Bobby.samuel","true","false","false","false","","false",""
"2 years ago","all good things must come to an end","0","@rzazad6418","true","false","false","false","","false",""
"2 years ago","Money Heist is the best show I have ever watched in my life. I never want it to end. Its a masterpiece.","0","@christttmasssholidddayyys497","true","false","false","false","","false",""
"2 years ago","I'd say both of them are best in their own ways but personally I love both the series","0","@-od6mghduridbd","true","false","false","false","","false",""
"2 years ago"," @youcantfoolmeman169   That's your opinion, many, many people would disagree.","0","@calibreman","true","false","false","false","","false",""
"2 years ago"," @calibreman  still like you said its my opinion thats true.","0","@youcantfoolmeman169","true","false","false","false","","false",""
"1 year ago"," @hollywoodtelugudubbed2052  chup bsdi k","0","@EnSabahNur-ir5mw","true","false","false","false","","false",""
"1 year ago"," @meditation3333  Indian spotted","0","@EnSabahNur-ir5mw","true","false","false","false","","false",""
"1 year ago","​ @cesarvaldez767  😊","0","@uncikitana","true","false","false","false","","false",""
"11 months ago","Breaking bad mr robot better call Saul dark black mirror","0","@lrw6447","true","false","false","false","","false",""
"10 months ago","The best series this world would ever give me!❤","0","@cedrickbenson8825","true","false","false","false","","false",""
"7 months ago","Fire asf… I just found it but omm im hooked 👀","0","@__simply_April__","true","false","false","false","","false",""
"2 years ago","Money Heist is definitely one of the shows I have been following all these years and I'm sad it's about to end but kind of happy that they won't drag the story.","4609","@reptvismy13threason","false","false","false","false","","false",""
"2 years ago","Netflix will start 2022 with Korean version I saw the video","23","@user-jh9ty4vo3i","true","false","false","false","","false",""
"2 years ago"," @user-jh9ty4vo3i  AND BERLIN WILL GET HIS OWN SPIN-OFF SHOW IN 2023","68","@GeosRealityReport","true","false","false","false","","false",""
"2 years ago","""Won't drag the story?"" Everything past season one, maybe season two is dragged out.","122","@ozianin7389","true","false","false","false","","false",""
"2 years ago"," @ozianin7389  exactly 🤣","21","@sajid8975","true","false","false","false","","false",""
"2 years ago","Ok","1","@Ashish-ef6du","true","false","false","false","","false",""
"2 years ago","There is literally nothing left to drag, The vault is empty","13","@ighways","true","false","false","false","","false",""
